title;artist;album;platform;isFound
"All Too Much";Gomez;"How We Operate";applemusicapp;1
"All Too Well";"Taylor Swift";Red;applemusicapp;1
"All We Are";OneRepublic;"Dreaming Out Loud";applemusicapp;1
"All We Are(original)";OneRepublic;;applemusicapp;1
"All You";"The Cataracs ft Waka Flocka";;applemusicapp;0
"All You Had To Do Was Stay";"Taylor Swift";"1989 (By Alexis Castro DJ)";applemusicapp;1
"All Your Reasons";"Matchbox Twenty";"Exile On Mainstream [Disc 2]";applemusicapp;1
Almost;"Bowling For Soup";;applemusicapp;1
"Almost Easy";"Avenged Sevenfold";;applemusicapp;1
"Almost Famous";Eminem;Recovery;applemusicapp;1
"Alone Together";"Fall Out Boy";"Save Rock and Roll";applemusicapp;1
"Alone Together (Remix)";Krewella;;applemusicapp;0
"Alpha Dog";"Fall Out Boy";"Believers Never Die";applemusicapp;1
"Already Callin' You Mine";Parmalee;"Billboard Top 60 Country Songs";applemusicapp;1
"Already Gone";"Kelly Clarkson";"All I Ever Wanted";applemusicapp;1
Alright;"Darius Rucker";;applemusicapp;1
Alright;Supergrass;"I Should Coco";applemusicapp;1
"Also Sprach Zarathustra, Op. 30: Introduction";"SWR Symphony Orchestra & Ferdinand Leitner";"R. Strauss for Young Music Geniuses";applemusicapp;0
Always;"Blink 182";"Blink 182";applemusicapp;1
Always;"Panic! At The Disco";"Vices and Virtues";applemusicapp;1
"Always Gets Her Way";"Smash Mouth";"All Star Smash Hits";applemusicapp;1
"Always Remember Us This Way";"Lady Gaga";"A Star Is Born Soundtrack";applemusicapp;1
"Always Strapped";"Birdman ft. Lil Wayne";;applemusicapp;0
"Always Summer";Yellowcard;;applemusicapp;1
"Always You";"Amber Pacific";;applemusicapp;1
"Am I the Only One";"Dierks Bentley";Home;applemusicapp;1
"Am I Wrong";"Nico & Vinz";"Am I Wrong - Single";applemusicapp;1
Amanda;"Aisha Duo";"Quiet Songs";applemusicapp;1
"Amazing (feat. Young Jeezy)";"Kanye West";"808s & Heartbreak";applemusicapp;1
"Ambivalence Avenue";Bibio;"Ambivalence Avenue";applemusicapp;1
Amen;"Meek Mill";"Amen (feat. Drake) - Single";applemusicapp;1
"Amen (feat. Drake)";"Meek Mill";"Dreams and Nightmares (Deluxe Version)";applemusicapp;1
America;Jewel;0304;applemusicapp;1
"American Beauty/American Psych";"Fall Out Boy";"American Beauty/American Psycho";applemusicapp;1
"American Boy";Estelle;"American Boy PRCD";applemusicapp;1
"American Eulogy";"Green Day";"21st Century Breakdown";applemusicapp;0
"American Idiot";"Green Day";"American Idiot";applemusicapp;1
"American Kid";"Kenny Chesney";"American Kids";applemusicapp;1
Amityville;Eminem;"The Marshall Mathers LP";applemusicapp;1
