title;artist;album;platform;isFound
"Ja Dak";Ritalin;"Ja Dak - Single";applemusicapp;1
"Jack and Diane";"John Cougar Mellencamp";"VH1 100 Greatest Songs of 80’s";applemusicapp;1
"Jackie Chan (feat. Preme & Post Malone)";"Tiësto & Dzeko";"Jackie Chan (feat. Preme & Post Malone) - Single";applemusicapp;1
"Jaein Off On My Day Off";"Super Mash Bros.";"All About The Scrilions";applemusicapp;0
"Jai Ho";"Pussycat Dolls";"Slumdog Millionaire";applemusicapp;0
"Jamie All Over";"Mayday Parade";"A Lesson In Romantics";applemusicapp;1
"Jane, I Still Feel the Same";"Matthew Ryan";"Jane, I Still Feel the Same";applemusicapp;0
"Janie's Got a Gun";Aerosmith;"VH1 100 Greatest Songs of 80’s";applemusicapp;1
"Japanese Denim";"Daniel Caesar";"Japanese Denim - Single";applemusicapp;1
"Jasey Rae";"All Time Low";"Put Up or Shut Up [EP]";applemusicapp;1
"Jay Z Blue";"JAY Z";"Magna Carta... Holy Grail";applemusicapp;1
"Je Suis Malade";"Lara Fabian";;applemusicapp;1
Jealous;"Nick Jonas";Jealous;applemusicapp;1
"Jefferson Aero Plane";"Relient K";"Two Lefts Don't Make A Right...But Three Do";applemusicapp;1
"Jefferson Aeroplane (Demo)";"Relient K";"The Bird & The Bee Sides";applemusicapp;1
Jenny;"Tommy Tutone";"VH1 100 Greatest Songs of 80’s";applemusicapp;1
"Jenny from the Block (Track Masters Remix feat. Styles & Jadakiss)";"Jennifer Lopez";"This Is Me...Then";applemusicapp;1
"Jenny Was A Friend Of Mine";"The Killers";"Hot Fuss";applemusicapp;1
"Jenny Wren";"Paul McCartney";"2007 Grammy Nominees";applemusicapp;1
Jeremy;"Pearl Jam";"100 Greatest Rock Songs Of The 90s";applemusicapp;1
Jericho;"Hilary Duff";"Hilary Duff";applemusicapp;1
Jersey;"Mayday Parade";"A Lesson In Romantics";applemusicapp;1
"Jessie's Girl";"Rick Springfield";"VH1 100 Greatest Songs of 80’s";applemusicapp;1
"Jessie's Girl";"Rick Springfield";;applemusicapp;1
"Jessie's Girl";"Rick Springfield";"The Best of Rick Springfield";applemusicapp;1
"The Jester";"Sum 41";"Underclass Hero";applemusicapp;1
"Jesus Christ";"Brand New";"The Devil and God Are Raging Inside Me";applemusicapp;1
"Jesus in LA";"Alec Benjamin";"These Two Windows";applemusicapp;1
"Jesus Of Suburbia";"Green Day";"American Idiot (Deluxe Version)";applemusicapp;1
"Jesus Of Suburbia / City Of The Damned / I Don't Care / Dearly Beloved / Tales Of Another Broken Home";"Green Day";"American Idiot";applemusicapp;0
"Jesus, Take The Wheel";"Carrie Underwood";"Some Hearts";applemusicapp;1
Jet;Wings;;applemusicapp;1
"Jet Life 2016";"Mike Emilio";"Jet Life 2016 - Single";applemusicapp;1
"Jet Pack Blues";"Fall Out Boy";"American Beauty/American Psycho";applemusicapp;1
"Jimmy Sparks";"The Lumineers";III;applemusicapp;1
"Jingle Bell Rock";"Amy Grant";"A Christmas To Remember";applemusicapp;1
"Jingle Bell Rock";"Hilary Duff";"Santa Claus Lane";applemusicapp;1
"Jingle Bell Rock";"Rascal Flatts";"Greatest Hits Volume Christmas";applemusicapp;1
"Jingle Bells (Glee Cast Version)";"Glee Cast";"Glee: The Music - The Christmas Album";applemusicapp;1
"John Cougar, John Deere, John 3:16";"Keith Urban";"John Cougar, John Deere, John 3:16 (Single)";applemusicapp;1
"The Joker";"Steve Miller Band";;applemusicapp;1
Jolene;"Ray LaMontagne";Trouble;applemusicapp;1
Jordan;Buckethead;;applemusicapp;0
Josie;"Blink 182";"Dude Ranch";applemusicapp;1
"Joy Ride";"Mariah Carey";"The Emancipation Of Mimi [Repackage]";applemusicapp;1
Jubel;Klingande;"Jubel - Single";applemusicapp;1
Judas;"Lady GaGa";"Judas - Single";applemusicapp;1
Juice;Lizzo;"Cuz I Love You";applemusicapp;1
"Juju on That Beat";"Zay Hilfigerrr & Zayion McCall";"This Is a Challenge";applemusicapp;1
"Juke Jam (feat. Justin Bieber & Towkio)";"Chance the Rapper";"Coloring Book";applemusicapp;1
Jump;"Lil' Josh";"Jump In!";applemusicapp;0
Jump;"Simple Plan";"Still Not Getting Any...";applemusicapp;1
Jump;"Van Halen";"VH1 100 Greatest Songs of 80’s";applemusicapp;1
Jump;"Van Halen";;applemusicapp;1
"Jump Around";"House of Pain";;applemusicapp;1
"Jump Around";"House Of Pain";;applemusicapp;1
"Jump In the Line";"Harry Belafonte";"Very Best of Harry Belafonte";applemusicapp;1
"Jump Right In";"Zac Brown Band";"Billboard Top 25 Country Songs 06-22-13";applemusicapp;1
"Jump To The Rhythm";"Jordan Pruitt";"Jump In!";applemusicapp;1
"Jump, Jump!";"Jason Risk & Jacob Rodi";"Jump, Jump! - Single";applemusicapp;0
Jumper;"Third Eye Blind";"Ripped by Buko's MP3 Lair";applemusicapp;1
"Jumpin Jumpin";"Destiny's Child";"Destiny's Child - #1's";applemusicapp;1
Jumpin';"Keke Palmer";"Jump In!";applemusicapp;0
Jumpman;"Drake & Future";"What a Time To Be Alive";applemusicapp;0
"Jungle Love";"Steve Miller Band";;applemusicapp;1
"Just A Dream";"Jump 5";"Dreaming In Color";applemusicapp;1
"Just a Lil Bit";"50 Cent";"The Massacre";applemusicapp;1
"Just About Done";"Blink 182";"Cheshire Cat";applemusicapp;1
"Just Another Day";Logic;;applemusicapp;1
"Just Breathe";"Pearl Jam";Backspacer;applemusicapp;1
"Just Can't Get Enough";"The Black Eyed Peas";Black.Eyed.Peas-The.Beginning-(Deluxe.Edition)-2010-[NoFS];applemusicapp;1
"Just Can't Get Enough";"Depeche Mode";"VH1 100 Greatest Songs of 80’s";applemusicapp;1
"Just Can't Get Enough";"Black Eyed Peas";;applemusicapp;1
"Just Dance";"Lady GaGa";;applemusicapp;1
"Just Dance feat. Colby O'Donis";"Lady GaGa";"The Fame";applemusicapp;0
"Just Gettin' Started";"Blake Shelton";"BRINGING BACK THE SUNSHINE (Deluxe Edition)";applemusicapp;1
"Just Give Me A Reason";"Pink Feat. Nate Ruess";"Just Give Me A Reason [2156]";applemusicapp;1
"Just Got Paid (feat. French Montana)";"Sigala, Ella Eyre & Meghan Trainor";"Brighter Days";applemusicapp;1
"Just Hold On";"Steve Aoki & Louis Tomlinson";"Just Hold On - Single";applemusicapp;1
"Just Like Heaven";"The Cure";"VH1 100 Greatest Songs of 80’s";applemusicapp;1
"Just Like You";"Three Days Grace";"Three Days Grace";applemusicapp;1
"Just Like You";"Hannah Montana";"Hannah Montana";applemusicapp;0
"Just Lose It";Eminem;"Curtain Call: The Hits [Disc 1]";applemusicapp;1
"Just Me";"Huey Mack";;applemusicapp;0
"Just Missed The Train";"Kelly Clarkson";Thankful;applemusicapp;1
"Just Passing Through";"Jason Aldean";"My Kinda Party";applemusicapp;1
"Just Sayin'";"Sam Adams";;applemusicapp;1
"Just South of Heaven";"Blake Shelton";"BRINGING BACK THE SUNSHINE (Deluxe Edition)";applemusicapp;1
"Just The Girl";"The Click Five";"Greetings from Imrie House";applemusicapp;1
"Just The Girl";"The Click Five";;applemusicapp;1
"Just The Way You Are";"Bruno Mars";NewJams.net;applemusicapp;1
"Just What I Am";"Kid Cudi";;applemusicapp;1
"Just What I Needed";"The Cars";;applemusicapp;1
Kamikaze;"WALK THE MOON";"What If Nothing";applemusicapp;1
"Kanjiklub 2017";"Mike Emilio & Modo";"EDM Heroes";applemusicapp;1
Karate;"R3HAB & KSHMR";"Karate - Single";applemusicapp;1
"Karma Police";Radiohead;"100 Greatest Rock Songs Of The 90S";applemusicapp;1
"Kay Kay";"Chief Keef";"Finally Rich";applemusicapp;1
"Keanu Reeves";Logic;"Confessions of a Dangerous Mind";applemusicapp;1
"Keep Fishin'";Weezer;Maladroit;applemusicapp;1
"Keep Holding On";"Avril Lavigne";"The Best Damn Thing";applemusicapp;1
"Keep It Low (feat. Mightyfools)";Afrojack;"Keep It Low (feat. Mightyfools) - Single";applemusicapp;1
"Keep It Simple";"Cobra Starship";"While The City Sleeps. We Rule The Streets";applemusicapp;1
"Keep On Keepin' On";JoJo;JoJo;applemusicapp;1
"Keep On Loving You";"REO Speedwagon";"VH1 100 Greatest Songs of 80’s";applemusicapp;1
"Keep On Walking";Passenger;"All The Little Lights";applemusicapp;1
"Keep On Walking (Acoustic)";Passenger;"All The Little Lights";applemusicapp;1
"Keep Showing Up (Motivational Speech)";"Fearless Motivation";"10% Human 90% Beast (Gym Motivational Speeches)";applemusicapp;1
"Keep the Family Close";Drake;Views;applemusicapp;1
"Keep Them Kisses Comin' (Hot Radio Mix)";"Craig Campbell";"Promo Only Country Radio February";applemusicapp;1
"Keep Your Hands Off My Girl";"Good Charlotte";"Good Morning Revival";applemusicapp;1
"Keep Your Head Up";"Andy Grammer";"Keep your head up - Single";applemusicapp;1
Kelsey;"Metro Station";"Metro Station";applemusicapp;1
"Ken Kaniff (Skit)";Eminem;"The Marshall Mathers LP";applemusicapp;1
"The Keys to Success (Motivational Speech)";"Fearless Motivation";"Uncommon Being (Motivational Speeches)";applemusicapp;1
"Kick In The Teeth";"Papa Roach";"Time For Annihilation";applemusicapp;1
"Kick the Dust Up";"Luke Bryan";"Kill the Lights (Deluxe)";applemusicapp;1
Kick-Off;"Relient K";"Anatomy of Tongue in Cheek";applemusicapp;1
"Kick, Push";"Lupe Fiasco";"Lupe Fiasco's Food & Liquor";applemusicapp;1
Kids;MGMT;"Time To Pretend";applemusicapp;1
Kids;MGMT;;applemusicapp;1
"The Kids Are All Fucked Up";"Cobra Starship";"While The City Sleeps. We Rule The Streets";applemusicapp;1
"The Kids Aren't Alright";"Fall Out Boy";"American Beauty/American Psycho";applemusicapp;1
"The Kids Aren't Alright";"The Offspring";;applemusicapp;1
"The Kill";"30 Seconds To Mars";"A Beautiful Lie";applemusicapp;1
"Kill a Word";"Eric Church";"Mr. Misunderstood";applemusicapp;1
"Kill Jay Z";JAY-Z;4:44;applemusicapp;1
"Kill The Lights";"Britney Spears";Circus;applemusicapp;1
"Kill the Messenger";"Jack's Mannequin";"Everything In Transit";applemusicapp;1
"Kill You";Eminem;"The Marshall Mathers LP";applemusicapp;1
"KILL YOUR CONSCIENCE";Shinedown;"ATTENTION ATTENTION";applemusicapp;1
"Killin' It";Krewella;;applemusicapp;1
"Killing In The Name";"Rage Against The Machine";"100 Greatest Rock Songs Of The 90s";applemusicapp;1
Kim;Eminem;"The Marshall Mathers LP";applemusicapp;1
"King James";Buckethead;;applemusicapp;1
"King of Anything";"Sara Bareilles";"Kaleidoscope Heart";applemusicapp;1
"King of Diamonds";"Rick Ross";;applemusicapp;0
"King Of The Contradiction";"Sum 41";"Underclass Hero";applemusicapp;0
"King Of Wishful Thinking";"New Found Glory";;applemusicapp;1
"King's Dead";"Jay Rock, Kendrick Lamar, Future, James Blake";"Black Panther The Album Music From And Inspired By";applemusicapp;1
"Kings And Queens";"30 Seconds To Mars";"This Is War";applemusicapp;1
Kiss;Prince;"VH1 100 Greatest Songs of 80’s";applemusicapp;1
"Kiss And Sell";"The Maine";"Can't Stop, Won't Stop";applemusicapp;1
"Kiss Kiss";"Chris Brown";"Kiss Kiss - Single";applemusicapp;1
"Kiss Me";"New Found Glory";;applemusicapp;1
"Kiss Me At Midnight";"'N Sync";"Home For Christmas";applemusicapp;1
"Kiss Me Like a Stranger";"Thomas Rhett";"Life Changes";applemusicapp;1
"Kiss Me Thru The Phone";"Soulja Boy ft. Sammie";iSouljaboy;applemusicapp;1
"Kiss My Sass";"Cobra Starship";"¡Viva La Cobra!";applemusicapp;1
"Kiss N Tell";Ke$ha;Animal;applemusicapp;1
"Kiss That Girl Goodbye";"Aaron Watson";"Red Bandana";applemusicapp;1
"Kiss the Sky";"Jason Derulo";"Platinum Hits";applemusicapp;1
"Kiss You Slow";"Andy Grammer";"Magazines or Novels";applemusicapp;1
"Kisses & Thugs";"Super Mash Bros.";"All About The Scrilions";applemusicapp;0
"Kisses Don't Lie";Rihanna;"A Girl Like Me";applemusicapp;1
"Knives Out";Radiohead;Amnesiac;applemusicapp;1
"Knock Knock";"Mac Miller";"Mac Miller - K.I.D.S";applemusicapp;1
"Knock You Down";"Keri Hilson";;applemusicapp;1
"Knocking On Heaven's Door";"Guns N' Roses";;applemusicapp;1
Knockout;"Lil Wayne feat. Nicki Minaj";;applemusicapp;1
KnockOut;"Lil Wayne";Rebirth;applemusicapp;1
"Know Why";"KiD CuDi";;applemusicapp;0
"Know Your Enemy";"Green Day";"21st Century Breakdown";applemusicapp;1
"Kobe Bryant";"Lil Wayne";Rebirth;applemusicapp;0
Kodachrome;"Paul Simon";;applemusicapp;1
Kody;"Matchbox Twenty";"Yourself or Someone Like You";applemusicapp;1
Kristofferson;"Tim McGraw";"Let It Go";applemusicapp;1
"Kristy, Are You Doing Okay?";"The Offspring";"Rise and Fall, Rage and Grace";applemusicapp;1
Kryptonite;"3 Doors Down";"The Better Life";applemusicapp;1
Kryptonite;"3 Doors Down";;applemusicapp;1
"Kung Fu Fighting";"Carl Douglas";"The Soul of the Kung Fu Fighter";applemusicapp;1
"L.A.LOVE (la la) (By Alexis Castro DJ)";Fergie;"L.A.LOVE (la la) - Single (By Alexis Castro's Music)";applemusicapp;1
L.O.V.E.;"Ashlee Simpson";"I Am Me";applemusicapp;1
"L.O.V.E. spec";"pro Ashlee Simpson";"I Am Me";applemusicapp;0
"L'apprenti sorcier (The Sorcerer's Apprentice)";"Kenneth Jean & Slovak Radio Symphony Orchestra";Fantasia;applemusicapp;0
"L'Apprenti sorcier (The Sorcerrer's Apprentice)";"Berlin Philharmonic & James Levine";"Saint-Saëns: Symphony No. 3 ""Organ""";applemusicapp;0
"L'Arlésienne Suite No. 1: IV. Carillon";"London Symphony Orchestra & Rafael Frühbeck de Burgos";"Bizet: Suite from Carmen - L'Arlésienne Suites Nos. 1 & 2";applemusicapp;0
L490;"30 Seconds To Mars";"This Is War";applemusicapp;1
"La Familia";"JAY Z";"Magna Carta... Holy Grail";applemusicapp;1
"La Gioconda, Act III: Dance of the Hours";"Andras Korodi & Budapest Philharmonic Orchestra";"Ballet Highlights - Tchaikovsky, P.I. - Ponchielli, A. - Berlioz, H. - Chopin, F. - Khatchaturian, A. - Delibes, L. (Great Ballet Classics)";applemusicapp;1
"La La";"Ashlee Simpson";Autobiography;applemusicapp;1
"La La La";LMFAO;"Party Rock";applemusicapp;1
"La La La (feat. Sam Smith)";"Naughty Boy";"La La La (feat. Sam Smith) - Single";applemusicapp;1
"La La Lie";"Jack's Mannequin";"Everything In Transit";applemusicapp;1
"La Menta";Krunk!;"La Menta - Single";applemusicapp;1
"La Mer - Trois Esquisses symphoniques (Three Symphonic Sketches): II. Jeux de vagues - Allegro (Play of Waves)";"The Philadelphia Orchestra & Eugene Ormandy";"Debussy: La Mer, Afternoon of a Faun, Danse and Nocturnes";applemusicapp;0
"La Negra Tiene Tumbao";"Celia Cruz";"Fiesta Latina";applemusicapp;1
"La Tortura";Shakira;"Oral Fixation";applemusicapp;1
"La Traviata: Libiamo, ne' lieti calci (Brindisi)";"Cheryl Studer, Plácido Domingo, John Barker & Orchestra of the Royal Opera House, Covent Garden";"100 Best Placido Domingo";applemusicapp;1
"Lac des Cygnes, Op. 20a: Scène (Moderato)";"RTV Slovenia Symphony Orchestra";"Des Hommes et des Dieux (Bande originale du film)";applemusicapp;1
"Lace And Leather";"Britney Spears";Circus;applemusicapp;1
"Ladies Night";"Atomic Kitten Feat. Kool & The Gang";"Confessions Of A Teenage Drama Queen";applemusicapp;0
"Ladies' Choice";"Zac Efron";"Hairspray (Soundtrack to the Motion Picture)";applemusicapp;1
"Lady Killers";G-Eazy;;applemusicapp;1
"Lady Marmalade";"Christina Aguilera, Lil' Kim, Mýa & P!nk";"Moulin Rouge (Soundtrack from the Motion Picture)";applemusicapp;0
"Laffy Taffy";D4L;"Laffy Taffy - Single";applemusicapp;1
Lalala;"Auburn (feat. Iyaz)";"Lalala - Single";applemusicapp;0
Landslide;"Dixie Chicks";Home;applemusicapp;1
Language;"Porter Robinson";;applemusicapp;1
"The Lark Ascending";"Royal Philharmonic Orchestra & Pinchas Zukerman";"Vaughan Williams & Elgar: The Lark Ascending, Tallis Fantasia, Introduction & Allegro, in Moonlight";applemusicapp;0
"Lark On My Go-Kart";"Asher Roth";;applemusicapp;1
"Last Beautiful Girl";"Matchbox Twenty";"Mad Season";applemusicapp;1
"Last Breath";"Rick Ross Ft Meek Mill, Birdman";;applemusicapp;0
"Last Chance";Jet;"Get Born";applemusicapp;1
"Last Christmas";"Hilary Duff";"Santa Claus Lane";applemusicapp;1
"Last Christmas";"The Cheetah Girls";"Cheetah-Licious Christmas";applemusicapp;1
"Last Christmas (Glee Cast Version)";"Glee Cast";"Glee: The Music - The Christmas Album";applemusicapp;1
"The Last Circus 2018";"Mike Emilio & Modo";"The Last Circus 2018 - Single";applemusicapp;1
"Last Dollar (Fly Away)";"Tim McGraw";"Let It Go";applemusicapp;1
"Last Friday Night (T.G.I.F.)";"Katy Perry";"Teenage Dream";applemusicapp;1
"Last Kiss";"Taylor Swift";"Speak Now (Deluxe Version)";applemusicapp;1
"Last Night";"Motion City Soundtrack";"Even If It Kills Me";applemusicapp;1
"Last Night (feat. Havana Brown & Afrojack)";Pitbull;"Global Warming";applemusicapp;1
"Last Night On Earth";"Green Day";"21st Century Breakdown";applemusicapp;1
"Last Nite";"The Strokes";"Is This It";applemusicapp;1
"Last of the American Girls";"Green Day";"21st Century Breakdown";applemusicapp;1
"Last Resort";"Papa Roach";Infest;applemusicapp;1
"Last Shot";"Kip Moore";Slowheart;applemusicapp;1
"The Last Song";"Hilary Duff";"Hilary Duff";applemusicapp;1
"The Last Time (featuring Gary Lightbody of Snow Patrol)";"Taylor Swift";Red;applemusicapp;1
"Last Train Home";Lostprophets;;applemusicapp;0
"The Last, The Lost, The Least";"Relient K";"The Bird & The Bee Sides";applemusicapp;1
"Latch (feat. Sam Smith)";Disclosure;"Latch (feat. Sam Smith) - Single";applemusicapp;1
"Later On";"The Swon Brothers";"Later On - Single";applemusicapp;1
"Lay It All On Me";"Rudimental Feat. Ed Sheeran";"We The Generation (Deluxe Edition)";applemusicapp;0
"Lazy Gun";Jet;"Get Born";applemusicapp;1
"The Lazy Song";"Bruno Mars";"Doo-Wops & Hooligans";applemusicapp;1
"The Lazy Song";"Bruno Mars";"Doo-Wops & Hooligans";applemusicapp;1
"Lazy Susan";Shwayze;;applemusicapp;1
"Le carnaval des animaux [Carnival of the Animals] : XIII The Swan";"Güher Pekinel, Marek Janowski, Orchestre philharmonique de Radio France & Süher Pekinel";"40 Most Beautiful Cello Classics";applemusicapp;0
"Le Carnaval des Animaux: Aquarium";"Charles Dutoit, Pascal Rogé, London Sinfonietta & Cristina Ortiz";"Saint-Saëns: Carnival of the Animals";applemusicapp;1
"Le nozze di Figaro (The Marriage of Figaro), K. 492: Act I: Aria: Non piu andrai, farfallone amoroso";"Claudio Otelli, Sumi Jo, Michele Pertusi, Giuseppe Sabbatini, Daniela Lojarro, Roberto Paternostro, Marco Chingari, Cecilia Bartoli, Rundfunk-Sinfonieorchester Berlin, Michael Knapp, Gisella Pasino & Gertrud Ottenthal";"Philharmonie Berlin: Gala Opera Concert";applemusicapp;1
"Le quattro stagioni (The Four Seasons), Op. 8, Concerto No. 3 in F Major, RV 293, ""L'autunno"" [Autumn]: III. La caccia: Allegro";"St. Petersburg Soloists & Michail Gantvarg";"Vivaldi: The Four Seasons, Oboe Concerto, Double Concerto";applemusicapp;0
"Le quattro stagioni (The Four Seasons), Violin Concerto in E Major, Op. 8 No. 1, RV. 269 'Spring': III. Allegro";"Il Giardino Armonico & Giovanni Antonini";"Vivaldi Favourites";applemusicapp;1
"Le quattro stagioni (The Four Seasons), Violin Concerto in F Minor, Op. 8 No. 4, RV. 297 'Winter': I. Allegro non molto";"Il Giardino Armonico & Giovanni Antonini";"Vivaldi Favourites";applemusicapp;1
"Lean Back";"Terror Squadt, Fat Joe & Remy";Sing;applemusicapp;1
"Lean On";"Major Lazer & DJ Snake feat. MØ";;applemusicapp;0
"Lean Wit It, Rock Wit It";"Dem Franchize Boyz";"On Top of Our Game";applemusicapp;1
"Learn To Fly";"Foo Fighters";;applemusicapp;1
"Learn To Let Go";Kesha;Rainbow;applemusicapp;1
"Learning to Fall";"Boys Like Girls";"Boys Like Girls";applemusicapp;1
Leave;"Matchbox Twenty";"Mad Season";applemusicapp;1
"Leave (Get Out)";JoJo;JoJo;applemusicapp;0
"Leave a Light On";"Tom Walker";"What a Time To Be Alive";applemusicapp;1
"Leave Love Alone";"Carrie Underwood";"Blown Away";applemusicapp;1
"Leave Me Alone (I'm Lonely)";Pink;"I'm Not Dead";applemusicapp;1
"Leave Out All the Rest";"Linkin Park";"The Twilight Soundtrack";applemusicapp;1
"Leave Right Now";"Thomas Rhett";"Life Changes";applemusicapp;1
"Leave The Lights On";Jewel;0304;applemusicapp;1
"Leave the Night On";"Sam Hunt";Montevallo;applemusicapp;1
"Leave You Alone (feat. Ne-Yo)";"Young Jeezy";"TM:103 Hustlerz Ambition (Deluxe Version)";applemusicapp;1
Leavin';"Jesse McCartney";Departure;applemusicapp;1
"Leaving California";"Maroon 5";"V (Deluxe Version)";applemusicapp;1
"Leaving U 4 the Groove";LMFAO;"Party Rock";applemusicapp;1
"Leaving You";Audien;;applemusicapp;1
"Leaving You";"Corey Crowder";"Gold and the Sand";applemusicapp;1
Legacy;Eminem;"Marshall Mathers LP 2";applemusicapp;1
Legacy;JAY-Z;4:44;applemusicapp;1
"Legacy (Motivational Speech)";"Fearless Motivation";"10% Human 90% Beast (Gym Motivational Speeches)";applemusicapp;1
"Legacy (Remix)";Vicetone;;applemusicapp;0
"The Legend Of John Henry's Hammer";"Johnny Cash";"At Folsom Prison";applemusicapp;1
"(The Legend Of) Miss Baltimore Crabs";"Michelle Pfeiffer";"Hairspray (Soundtrack to the Motion Picture)";applemusicapp;1
"Legendary Lovers";"Katy Perry";"PRISM (Deluxe)";applemusicapp;1
"Legends Are Made";"Sam Tinnesz";"Legends Are Made - Single";applemusicapp;1
"Lemme Get That";Rihanna;"Good Girl Gone Bad";applemusicapp;1
Lemmings;"Blink 182";"Dude Ranch";applemusicapp;1
"Les Contes d'Hoffmann, in A Major Act 3 - ""Barcarolle Belle nuit, o nuit d'amour""";"Nederica Stepan";"Restore internal environment (Blood, lymph, tissue fluid, metabolism)";applemusicapp;1
"Less is More";"Relient K";"Anatomy of Tongue in Cheek";applemusicapp;1
"Lessons Learned";"Carrie Underwood";"Some Hearts";applemusicapp;1
"Let 'Em Talk (feat. Eagles of Death Metal)";Kesha;Rainbow;applemusicapp;1
"Let Go";"Vanessa Hudgens";V;applemusicapp;1
"Let Her Go (Acoustic)";Passenger;"All The Little Lights";applemusicapp;1
"Let It Go";"James Bay";"Chaos and the Calm";applemusicapp;1
"Let It Go";"Christophe Beck";"Frozen (Deluxe Edition) (CD1)";applemusicapp;0
"Let It Go";Kyle;"Jump In!";applemusicapp;1
"Let It Go";"Escape the Fate";"This War Is Ours";applemusicapp;1
"Let It Go";"Idina Menzel";"Frozen (Deluxe Edition) (CD1)";applemusicapp;0
"Let It Go";"Tim McGraw";"Let It Go";applemusicapp;1
"Let It Go";"Idina Menzel";"Frozen (Original Motion Picture Soundtrack)";applemusicapp;0
"Let It Go (Instrumental Karaoke / Demi Version)";"Christophe Beck";"Frozen (Deluxe Edition) (CD2)";applemusicapp;0
"Let It Go (Instrumental Karaoke / Idina Version)";"Christophe Beck";"Frozen (Deluxe Edition) (CD2)";applemusicapp;0
"Let It Go (Single Version)";"Demi Lovato";"Frozen (Original Motion Picture Soundtrack)";applemusicapp;0
"Let It Hurt";"Rascal Flatts";Changed;applemusicapp;1
"Let It Rain";"OK Go";"Oh No";applemusicapp;1
"Let It Rock";"Kevin Rudolph";"In The City";applemusicapp;1
"Let It Roll";"All Time Low";"So Wrong, It's Right";applemusicapp;1
"Let Love In";"The Goo Goo Dolls";"Greatest Hits Vol.1 The Singles";applemusicapp;1
"Let Me Feel";Vicetone;;applemusicapp;0
"Let Me Go";"3 Doors Down";"Seventeen Days";applemusicapp;1
"Let Me Go (feat. Florida Georgia Line & watt)";"Hailee Steinfeld & Alesso";"Let Me Go (feat. Florida Georgia Line & watt) - Single";applemusicapp;1
"Let Me Love You (feat. Justin Bieber)";"DJ Snake";Encore;applemusicapp;1
"Let Me Love You (Until You Learn to Love Yourself)";Ne-Yo;"Let Me Love You (Until You Learn to Love Yourself) - Single";applemusicapp;1
"Let Me See Ya Girl";"Cole Swindell";"Billboard Top 60 Country Songs";applemusicapp;1
"Let Me Take You Home Tonight";Boston;Boston;applemusicapp;1
"Let the Bass Kick in Miami Bitch (Nye Version)";"Chuckie & LMFAO";"New Years Eve Dance Anthems";applemusicapp;1
"Let The Flames Begin";Paramore;Riot!;applemusicapp;1
"Let You Down";NF;Perception;applemusicapp;1
"Let's Dance (Miley Cyrus)";"Miley Cyrus";"Hannah Montana 2: Meet Miley Cyrus [Disc 2]";applemusicapp;1
"Let's Dance (Vanessa Hudgens)";"Vanessa Hudgens";V;applemusicapp;1
"Let's Get Fucked Up And Die";"Motion City Soundtrack";"Commit This To Memory";applemusicapp;0
"Let's Get It Started";"Black Eyed Peas";Elephunk;applemusicapp;1
"Let's Go (feat. Big D & Twista)";"Trick Daddy";"Thug Matrimony - Married to the Streets";applemusicapp;1
"Let's Go Home (Remix)";"Sound Remedy";;applemusicapp;1
"Let's Hear It For Rock Bottom";"The Offspring";"Rise and Fall, Rage and Grace";applemusicapp;1
"Let's Kill Tonight";"Panic! At The Disco";"Vices and Virtues";applemusicapp;1
Letterbomb;"Green Day";"American Idiot";applemusicapp;1
"Lettin' The Night Roll";"Justin Moore";"Off The Beaten Path";applemusicapp;1
"Letting Go";"Sean Kingston Ft. Nicki Minaj";;applemusicapp;0
Levels;Avicii;"NOW That's What I Call a Workout";applemusicapp;1
Levels;"Nick Jonas";"Levels - Single";applemusicapp;1
Levels;Avicii;;applemusicapp;1
"Levels (Remix)";Skrillex;;applemusicapp;0
"Liar (It Takes One To Know One)";"Taking Back Sunday";"Louder Now";applemusicapp;1
Liberation;"Christina Aguilera";Liberation;applemusicapp;1
"Life After You";Daughtry;"Leave This Town";applemusicapp;0
"Life Ain't Always Beautiful";"Gary Allen";;applemusicapp;1
"Life Changes";"Thomas Rhett";"Life Changes";applemusicapp;1
"Life Goes On";DK;"Shy State of Mind";applemusicapp;0
"Life Is A Highway";"Rascal Flatts";"Greatest Hits Volume 1";applemusicapp;1
"Life Is A Highway";"Tom Cochrane";"100 Greatest Rock Songs Of The 90s";applemusicapp;1
"Life of A Salesman";Yellowcard;"Ocean Avenue";applemusicapp;1
"Life's A Bitch";"TFM Original Promo Song";;applemusicapp;0
"Life's Been Good";"Joe Walsh";;applemusicapp;1
"Life's For The Living";Passenger;"All The Little Lights";applemusicapp;1
"Life's For The Living (Acoustic)";Passenger;"All The Little Lights";applemusicapp;1
"Life's Too Short (Outtake)";"Christophe Beck";"Frozen (Deluxe Edition) (CD2)";applemusicapp;0
"Life's Too Short (Reprise) (Outtake)";"Christophe Beck";"Frozen (Deluxe Edition) (CD2)";applemusicapp;0
"Life's Tough (Motivational Speech)";"Fearless Motivation";"Greatest Hits Motivational Speeches";applemusicapp;1
"Life's What You Make It";"Hannah Montana";"Hannah Montana 2: Meet Miley Cyrus [Disc 1]";applemusicapp;1
Lifeline;"Papa Roach";Metamorphosis;applemusicapp;1
"Lifestyle (feat. Young Thug & Rich Homie Quan)";"Rich Gang";"Lifestyle (feat. Young Thug & Rich Homie Quan) - Single";applemusicapp;1
"Lifestyles Of The Rich And Famous";"Good Charlotte";"The Young And The Hopeless";applemusicapp;1
